Wall time,Step,Value
1548081697.5549464,0,0.7600230574607849
1548081716.4350843,1,0.8926039934158325
1548081735.180519,2,0.9066516160964966
1548081754.0073793,3,0.916016697883606
1548081772.675631,4,0.9205215573310852
1548081791.7037537,5,0.9237777590751648
1548081810.4497707,6,0.9267505407333374
1548081829.3809073,7,0.9283306002616882
1548081848.1123705,8,0.9292479157447815
1548081866.8202167,9,0.9306694865226746
1548081885.8261118,10,0.931577205657959
1548081904.7375937,11,0.9326097369194031
1548081923.9227135,12,0.933988094329834
1548081942.8538194,13,0.942584753036499
1548081961.9076474,14,0.9449284076690674
1548081980.7968721,15,0.9455191493034363
1548081999.7301817,16,0.9455767869949341
1548082018.7311625,17,0.9470992088317871
1548082037.5040052,18,0.9524157047271729
1548082056.4179041,19,0.952948808670044
1548082075.2568276,20,0.9537796378135681
1548082094.0345743,21,0.9543319344520569
1548082112.6748145,22,0.9539957642555237
1548082131.587384,23,0.9555854201316833
1548082150.3416522,24,0.9593554735183716
1548082169.2792377,25,0.9596244096755981
1548082188.329725,26,0.9594419598579407
1548082207.2132213,27,0.9610171914100647
1548082226.1694918,28,0.9618816375732422
1548082244.8653266,29,0.9618144035339355
1548082263.525945,30,0.9624435901641846
1548082282.2768667,31,0.9620257616043091
1548082300.985584,32,0.9631447792053223
1548082319.7163212,33,0.9634473323822021
1548082338.7264292,34,0.9645038843154907
1548082357.4604323,35,0.9648929238319397
1548082376.1974914,36,0.9651426672935486
1548082395.0173657,37,0.965373158454895
1548082413.734382,38,0.9664297103881836
1548082432.4795187,39,0.9661127924919128
1548082451.1985447,40,0.9667803049087524
1548082470.052003,41,0.9666890501976013
1548082489.1801429,42,0.9662856459617615
1548082508.0149612,43,0.9668619632720947
1548082526.9853497,44,0.9674718976020813
1548082545.9576645,45,0.9678897261619568
1548082564.7615275,46,0.9683843851089478
1548082583.5254085,47,0.9679617881774902
1548082602.326492,48,0.9688646793365479
1548082621.2497423,49,0.9685572981834412
1548082640.0808809,50,0.9686965942382812
1548082658.9610484,51,0.968960702419281
1548082677.7983792,52,0.9695466160774231
1548082696.6305394,53,0.9697195291519165
1548082715.4378257,54,0.9698011875152588
1548082734.2013373,55,0.9703918695449829
1548082753.0296352,56,0.9701997637748718
1548082771.9367228,57,0.9705071449279785
1548082790.748604,58,0.9708337187767029
1548082809.601898,59,0.970185399055481
1548082828.4614794,60,0.9712323546409607
1548082847.4020808,61,0.9716646075248718
1548082866.2346232,62,0.971813440322876
1548082885.0947807,63,0.9720247983932495
1548082903.9246445,64,0.9718663096427917
1548082922.8827853,65,0.9715829491615295
1548082941.7448347,66,0.9716646075248718
1548082960.5935366,67,0.9722120761871338
1548082979.5659444,68,0.971606969833374
1548082998.467405,69,0.9720680117607117
1548083017.2957056,70,0.9731101989746094
1548083036.1224194,71,0.9726635217666626
1548083055.5396621,72,0.9730189442634583
1548083074.4571555,73,0.9723657965660095
1548083093.3742564,74,0.972884476184845
1548083112.4102662,75,0.9725098609924316
1548083131.5372062,76,0.9729228615760803
1548083150.5692847,77,0.9727259874343872
1548083169.6849477,78,0.973777711391449
1548083188.6929631,79,0.9735136032104492
1548083207.6257408,80,0.9741235375404358
1548083226.5841167,81,0.9739362001419067
1548083245.4066799,82,0.9740274548530579
1548083264.2386854,83,0.9744501113891602
1548083283.0884287,84,0.9743108153343201
1548083301.8986669,85,0.9742243885993958
1548083320.7448766,86,0.9740563035011292
1548083339.5560775,87,0.9747766852378845
1548083358.3742034,88,0.9747286438941956
1548083377.2037163,89,0.9750648140907288
1548083396.1737688,90,0.9753721952438354
1548083415.0046377,91,0.9756603837013245
1548083433.8321836,92,0.9756171107292175
1548083452.749183,93,0.9758188724517822
1548083471.5539956,94,0.9764431715011597
1548083490.5604944,95,0.9750696420669556
1548083509.5820858,96,0.9764191508293152
1548083528.4484444,97,0.9760109782218933
1548083547.366674,98,0.9755834937095642
1548083566.2460651,99,0.9762654900550842
1548083585.1793067,100,0.9763615727424622
1548083604.0018506,101,0.9758957028388977
1548083622.863198,102,0.9761934280395508
1548083641.7119606,103,0.9763375520706177
1548083660.5696793,104,0.9769954681396484
1548083679.5148537,105,0.9764912128448486
1548083698.3932712,106,0.9766016602516174
1548083717.254323,107,0.9769474864006042
1548083736.2343981,108,0.9774037003517151
1548083755.1298282,109,0.9775670170783997
1548083773.976377,110,0.9774565100669861
1548083793.1429482,111,0.9772548079490662
1548083812.1717398,112,0.9775574207305908
1548083831.2840044,113,0.9773796796798706
1548083850.2638288,114,0.977898359298706
1548083869.236089,115,0.9777927398681641
1548083888.1764085,116,0.9776918888092041
1548083907.071159,117,0.9777927398681641
1548083925.971211,118,0.9779512286186218
1548083944.8492782,119,0.9776198267936707
1548083963.714349,120,0.9779752492904663
1548083982.6064174,121,0.9786908030509949
1548084001.4310918,122,0.9781673550605774
1548084020.2611277,123,0.9785947799682617
1548084039.574067,124,0.978234589099884
1548084058.8155625,125,0.9783834218978882
1548084077.8806465,126,0.9786427617073059
1548084096.8984032,127,0.9786187410354614
1548084115.9915726,128,0.9787628650665283
1548084135.070037,129,0.9794207811355591
1548084154.0960321,130,0.9793487787246704
1548084173.0032382,131,0.9785515069961548
1548084191.9089274,132,0.9793199300765991
1548084210.7585,133,0.9790365695953369
1548084229.6096146,134,0.9787916541099548
1548084248.4086025,135,0.9794064164161682
1548084267.24234,136,0.978729248046875
